Quiz Number	Question Number	Question	Correct Answer	Incorrect 1	Incorrect 2	Incorrect 3	Incorrect 4
1	1	How do you conserve materials>	All of the above.	Use scrap wood.	Measure twice and cut once.	Don't cut in the middle of the wood.	
1	2	Which of the following is NOT appropriate to wear in the shop?	Flip flops	Shorts	A t-shirt	Close-toed shoes	
1	3	What must ALWAYS be worn while in the shop?	Safety goggles	Ear plugs	Masks	Long pants	
1	4	When cleaning up the shop, which of the following should be done first?	Pick up scraps of wood that are reusable.	Sweep off machines.	Grab a broom.	Sweep up dust.	
1	5	You should avoid the shop if:	You are injured or feeling sick.	You have other homework to do.	You don't feel like working!	You don't like the other members in your group.	
1	6	You should tighten clamps until:	You can't move the wood around anymore.	You have made 35 rotations.	You leave a dent in the wood.	The top touches the wood.	
1	7	Why should you be in the shop?	To work.	To have fun.	To see what other people are doing.	To talk to friends.	
1	8	When cutting wood:	Always have it clamped down.	Cut against the grain.	Start in the middle.	Toss out all the leftovers.	
1	9	Why would you wear a mask?	You have breathing issues.	For funsies, duh!	To protect your chin.	It's Halloween.	
1	10	Why is it important to keep the shop clean?	All of the above.	Sawdust is bad to inhale.	It keeps tools in working order.	Debris in the shop is hazardous.	
1	11	True or false: hair longer than shoulder length should be pulled back.	True.	False.			
1	12	If you have a long sleeved shirt:	Roll up your sleeves.	Just make sure it's not too loose.	You can't enter the shop.	Don't worry about it.	
1	13	True or false: high heels are allowed in the shop if they cover your toes.	False	True			
1	14	Which step of shop cleaning happens last? Getting a broom and cleaning up the sawdust.	Putting tools away.	Turning off machines.	Putting scraps away.		
1	15	What is the proper sweeping technique?	Sweep towards user in a circular motion.	Sweep only where dust is visible.	Sweep debris into the corners.	Walk in a long line around the shop.	
2	1	What is a coping saw used for?	To cut intricate internal cutouts and external shapes out of thin materials.	To cut with the grain of a piece of wood.	To cut across the grain of the wood.	To cut out large simple shapes.	
2	2	What do you do if your screwdriver strips the screw?	Remove the stripped screw, get a new one, find a slightly larger screwdriver, and try again.	Use a hammer and force the screw in.	Reset the screwdriver and try again.	Remove stripped screw, get a new one, and try again.	
2	3	What is the difference between a mallet and a hammer?	A mallet has a softer blow.	A hammer has a softer blow.	Hammers are used to cut materials.	Mallets usually have a sharp edge.	
2	4	What material can you cut with a Hacksaw?	All of the above	Metal	Wood	Plastic	
2	5	The purpose of sandpaper is to...	Smooth rough edges on a piece of wood.	Create designs in wood.	Smooth rough edges on a piece of wood or metal.	Clean your workplace.	
2	6	True or false: chisels should be used with the grain.	True	False			
2	7	What is the difference between a file and a chisel?	A file is used to cut fine amounts of material from a workpiece, while a chisel is used for carving a hard material such as wood, stone, or metal.	A chisel is used to cut fine amounts of material from a workpiece, while a file is used for carving a hard material such as wood, stone, or metal.	Both are used to cut materials.	Both are used to carve.	
2	8	Wood glue can be used to...	Glue together two pieces of wood.	Fill in holes in your piece of wood.	Glue another material to wood.	Eat.	
2	9	What tool do you use to cut across wood grain?	A Crosscut Saw.	A Rip Saw.	A Coping Saw.	A Hacksaw.	
2	10	What is something that must be used if you are working with a hammer?	Clamps	Saw	Screw	Glue	
2	11	What is the first step in drilling a hole in a piece of wood?	Clamp down drilled piece of wood and scrap to prevent the drill from going into the table.	Drill a hole using the needed drill bit size.	Drill a pilot hole in the piece of wood.	Glue wood to table to prevent movement.	
2	12	How do you cut with a rip saw?	With the grain of the wood.	Across the grain of the wood.	In small intricate cuts.	Diagonally across the grain of the wood.	
2	13	True or false: you are always supposed to pull a file against wood.	False	True			
2	14	True or false: screws tighten counterclockwise.	False	True			
2	15	You want to smooth fine amounts from the corner of a piece of wood. Which tool do you use?	File	Chisel	Hammer	Coping Saw	
3	1	When using a drill press, should the object being drilled be clamped down?	Yes.	No.	Only if the object is larger than the platform.	Only if the object is smaller than the platform.	
